title_word_count,text_richness,title_to_abstract_ratio,abstract_word_count,concept_count,keyword_count,recency_score,text_length_category,abstract_keyword_overlap,oa_category
10,0.8462,0.4098,26,11,11,0.3333,1,1,fully_open
10,0.1013,0.0628,158,9,7,0.3333,2,1,partially_open
11,0.2536,0.1237,138,20,15,0.3333,2,1,fully_open
8,0.0748,0.0314,254,10,9,0,3,1,fully_open
6,0.1434,0.0246,244,20,15,0.6667,3,1,partially_open
8,0.0896,0.1183,67,3,3,0.3333,1,0,fully_open
9,0.1514,0.0578,185,17,11,0,2,1,closed
16,0.1313,0.06,259,22,12,0.3333,3,0,fully_open
4,0.1562,0.0462,128,10,10,0,2,1,fully_open
7,0.2229,0.0495,157,18,17,0,2,1,partially_open
8,0.2759,0.049,116,17,15,0,2,1,closed
12,0.2333,0.2098,60,7,7,0.6667,1,0,partially_open
11,0.2313,0.0833,134,16,15,0,2,1,fully_open
18,0.2113,0.0993,194,25,16,0.3333,2,0,partially_open
8,0.2867,0.0725,150,24,19,0,2,1,partially_open
7,0.2376,0.0978,101,14,10,0.3333,2,0,partially_open
14,0.0447,0.0404,403,9,9,0.3333,3,1,fully_open
13,0.105,0.063,200,12,9,0.3333,2,1,partially_open
16,0.0644,0.0426,388,15,10,1,3,0,partially_open
4,0.1176,0.0218,170,11,9,0,2,1,closed
7,0.2185,0.0633,151,19,14,0,2,1,partially_open
12,0.0173,0.0126,1041,9,9,0,3,1,fully_open
7,0.0658,0.0434,152,5,5,0.6667,2,1,partially_open
13,0.1975,0.0929,157,17,14,0.6667,2,1,fully_open
10,0.2308,0.084,117,15,12,0,2,1,partially_open
8,0.1376,0.0512,218,17,13,0,3,1,closed
11,0.1389,0.0429,252,20,15,0,3,1,fully_open
8,0.1719,0.0487,192,19,14,0.3333,2,1,closed
13,0.1193,0.0671,176,13,8,0.3333,2,0,partially_open
6,0.1946,0.0631,149,18,11,0,2,1,fully_open
9,0.1705,0.0639,176,16,14,0.3333,2,1,fully_open
9,0.1301,0.0657,146,10,9,0,2,0,partially_open
13,0.2333,0.0759,150,18,17,0.3333,2,0,fully_open
8,0.08,0.0267,250,11,9,0,3,1,fully_open
9,0.092,0.0397,261,13,11,0,3,1,fully_open
9,0.1111,0.0557,198,12,10,0.3333,2,1,closed
5,0.0773,0.0226,233,10,8,0.3333,3,1,fully_open
6,0.1647,0.0534,170,16,12,0,2,1,fully_open
9,0.1747,0.0545,166,18,11,0,2,1,partially_open
9,0.1895,0.0495,153,15,14,0.3333,2,1,partially_open
9,0.1523,0.0462,197,17,13,0.3333,2,1,partially_open
20,0.1676,0.1121,179,17,13,0,2,1,partially_open
5,0.1374,0.0238,211,16,13,0.3333,2,1,closed
6,0.2837,0.0496,141,23,17,0.3333,2,1,closed
8,0.0417,0.0363,288,6,6,0.3333,3,0,closed
8,0.2383,0.025,214,30,21,0,3,1,partially_open
13,0.2248,0.0833,129,16,13,0.3333,2,1,closed
13,0.1148,0.1148,122,7,7,0,2,1,closed
8,0.25,0.068,168,22,20,0,2,1,fully_open
17,0.1469,0.1241,177,15,11,0.6667,2,1,fully_open
11,0.34,0.1248,100,18,16,0,2,1,closed
9,0.1014,0.0388,276,15,13,0.3333,3,1,fully_open
9,0.1421,0.0462,183,16,10,0,2,1,partially_open
13,0.1183,0.0639,186,12,10,0,2,0,closed
4,0.1391,0.0263,230,17,15,0.3333,3,0,partially_open
12,0.0949,0.0558,253,13,11,0.3333,3,1,closed
11,0.1658,0.056,193,18,14,0,2,0,closed
9,0.2011,0.0693,184,21,16,0,2,1,closed
11,0.11,0.0625,200,11,11,0,3,1,partially_open
9,0.1071,0.0289,252,16,11,0.6667,3,0,fully_open
13,0.1412,0.0936,170,14,10,0.3333,2,1,fully_open
7,0.0595,0.0309,185,6,5,0,2,1,closed
9,0.1436,0.0526,181,13,13,0,2,1,partially_open
10,0.1,0.043,260,15,11,0,3,1,fully_open
7,0.1164,0.0379,189,13,9,0.3333,2,0,fully_open
8,0.1106,0.0391,235,13,13,0.3333,3,1,fully_open
14,0.1381,0.0625,210,17,12,0.3333,2,1,fully_open
5,0.0836,0.0148,347,15,14,0,3,1,fully_open
10,0.1384,0.0651,159,12,10,0,2,1,partially_open
15,0.105,0.0558,238,15,10,0,3,0,partially_open
11,0.0885,0.0591,226,11,9,0.6667,3,1,fully_open
29,0.1828,0.1348,186,19,15,0.3333,2,0,fully_open
9,0.1458,0.0475,192,17,11,0,2,1,closed
5,0.2258,0.0401,155,22,13,0,2,0,fully_open
9,0.2456,0.0985,114,15,13,0,2,1,fully_open
18,0.1367,0.066,300,23,18,0.3333,3,1,fully_open
12,0.1667,0.0793,186,16,15,0,2,1,fully_open
11,0.1361,0.0612,191,13,13,0,2,1,fully_open
8,0.1688,0.0697,154,15,11,0.3333,2,1,partially_open
8,0.067,0.0464,209,7,7,0.3333,3,0,partially_open
9,0.1575,0.0626,146,13,10,0.6667,2,1,partially_open
13,0.1229,0.0884,179,12,10,0.6667,2,1,partially_open
13,0.1404,0.0726,171,14,10,0.3333,2,1,fully_open
16,0.0329,0.0374,426,7,7,0.3333,3,1,fully_open
11,0.0597,0.0235,419,14,11,0,3,1,fully_open
9,0.1403,0.0494,221,17,14,0.3333,3,1,partially_open
7,0.1383,0.0363,188,14,12,0,2,1,closed
11,0.22,0.1172,100,12,10,0,2,1,partially_open
13,0.0648,0.0578,247,8,8,0,3,1,closed
9,0.1416,0.05,233,19,14,0,2,1,partially_open
9,0.1919,0.0515,198,21,17,0,2,1,closed
6,0.3556,0.045,135,26,22,0,2,0,partially_open
15,0.134,0.0979,194,13,13,0.6667,2,1,fully_open
14,0.1158,0.0709,190,12,10,0.3333,2,1,partially_open
14,0.1429,0.0714,203,16,13,0.3333,2,1,fully_open
11,0.0968,0.0504,217,11,10,0.6667,3,1,partially_open
6,0.1739,0.046,138,12,12,0.6667,2,0,fully_open
7,0.1429,0.0556,175,16,9,0.3333,2,1,closed
15,0.0482,0.0298,602,16,13,0.6667,3,1,partially_open
14,0.1289,0.0864,194,14,11,0.3333,2,1,fully_open
9,0.1593,0.0578,182,17,12,0,2,1,closed
15,0.1705,0.1018,176,22,8,0,2,1,closed
8,0.2874,0.0521,167,26,22,0.3333,2,0,fully_open
4,0.0845,0.0253,213,9,9,0,2,1,fully_open
10,0.2286,0.0795,140,18,14,0,2,1,partially_open
6,0.1832,0.0264,202,21,16,0.3333,2,1,fully_open
11,0.1356,0.0544,236,18,14,0,3,1,partially_open
12,0.1132,0.0478,265,17,13,0,3,0,partially_open
12,0.1892,0.099,148,15,13,0,2,1,fully_open
22,0.0837,0.0793,227,10,9,0,3,0,closed
5,0.1354,0.0192,229,19,12,0,3,1,closed
8,0.2384,0.0612,151,23,13,0,2,1,partially_open
9,0.1632,0.0475,190,18,13,0,2,1,closed
11,0.146,0.0922,137,11,9,0.6667,2,1,fully_open
9,0.1774,0.0858,124,12,10,0.3333,2,1,partially_open
6,0.1401,0.0234,257,24,12,0,3,0,partially_open
12,0.0905,0.0751,210,11,8,0,2,0,closed
