publication_year,paper_age,title_length,abstract_length,keyword_count,concept_count,has_doi,title_word_count,abstract_word_count,title_to_abstract_ratio,text_richness,recency_score,abstract_keyword_overlap,publication_year_norm,is_open_access_int,has_fulltext_int,oa_cat_fully_open,oa_cat_partially_open,oa_cat_closed,impact_tier
2023,3,55,942,14,17,1,7,118,0.0584,0.2627,0.3333,0,0.3333,1,1,0,1,0,high
2022,4,73,1009,12,17,1,9,152,0.0723,0.1908,0,1,0,1,1,1,0,0,high
2022,4,6,1343,9,11,1,1,192,0.0045,0.1042,0,0,0,0,0,0,0,1,high
2022,4,81,1651,18,22,1,9,258,0.0491,0.155,0,1,0,1,1,1,0,0,high
2022,4,67,1545,10,14,1,9,214,0.0434,0.1121,0,0,0,1,1,1,0,0,high
2022,4,78,1367,10,11,1,9,187,0.0571,0.1123,0,1,0,1,0,1,0,0,high
2024,2,76,1048,8,8,1,12,143,0.0725,0.1119,0.6667,1,0.6667,1,1,1,0,0,high
2022,4,94,1430,9,9,1,10,204,0.0657,0.0882,0,1,0,1,1,1,0,0,high
2022,4,108,1356,8,13,1,13,193,0.0796,0.1088,0,1,0,1,0,0,1,0,high
2022,4,64,1773,16,20,1,8,238,0.0361,0.1513,0,1,0,1,1,0,1,0,high
2024,2,34,832,13,14,1,5,131,0.0409,0.2061,0.6667,1,0.6667,1,1,0,1,0,high
2024,2,82,1145,12,12,1,9,162,0.0716,0.1481,0.6667,1,0.6667,1,1,0,1,0,high
2023,3,44,1649,12,18,1,7,248,0.0267,0.121,0.3333,0,0.3333,0,0,0,0,1,high
2022,4,32,1376,15,28,1,4,204,0.0233,0.2108,0,0,0,1,1,0,1,0,high
2023,3,77,1085,12,16,1,10,146,0.071,0.1918,0.3333,0,0.3333,1,1,0,1,0,high
2022,4,48,955,16,23,1,8,145,0.0503,0.269,0,1,0,0,0,0,0,1,high
2022,4,94,1005,8,11,1,14,142,0.0935,0.1338,0,1,0,1,1,0,1,0,high
2025,1,26,1109,10,11,1,3,139,0.0234,0.1511,1,1,1,1,1,0,1,0,high
2024,2,76,1540,7,12,1,10,207,0.0494,0.0918,0.6667,0,0.6667,0,0,0,0,1,high
2022,4,52,1567,11,13,1,8,223,0.0332,0.1076,0,1,0,1,1,1,0,0,high
2022,4,41,912,12,13,1,6,126,0.045,0.1984,0,1,0,0,0,0,0,1,high
2022,4,68,649,8,8,1,9,87,0.1048,0.1839,0,1,0,1,1,0,1,0,high
2022,4,42,920,20,27,1,5,138,0.0457,0.3406,0,0,0,1,0,1,0,0,high
2023,3,89,1108,10,11,1,9,140,0.0803,0.15,0.3333,1,0.3333,1,1,0,1,0,high
2022,4,108,2878,17,22,1,14,413,0.0375,0.0944,0,1,0,1,1,0,1,0,high
2022,4,34,1492,12,16,1,5,211,0.0228,0.1327,0,1,0,1,1,0,1,0,high
2022,4,72,1797,10,12,1,9,227,0.0401,0.0969,0,1,0,0,0,0,0,1,high
2022,4,88,914,7,8,1,12,127,0.0963,0.1181,0,1,0,1,1,1,0,0,high
2022,4,70,877,12,18,1,8,116,0.0798,0.2586,0,1,0,1,1,0,1,0,high
2024,2,164,1993,14,16,1,21,259,0.0823,0.1158,0.6667,1,0.6667,1,1,1,0,0,high
2022,4,59,763,13,15,1,10,115,0.0773,0.2435,0,0,0,1,0,0,1,0,high
2022,4,62,1578,10,14,1,8,227,0.0393,0.1057,0,0,0,1,1,1,0,0,high
2022,4,93,1371,21,23,1,12,196,0.0678,0.2245,0,1,0,0,0,0,0,1,high
2023,3,118,2196,9,14,1,16,311,0.0537,0.074,0.3333,1,0.3333,1,1,1,0,0,high
2022,4,126,1286,12,16,1,15,198,0.098,0.1414,0,1,0,0,0,0,0,1,high
2023,3,82,1459,11,13,1,10,194,0.0562,0.1237,0.3333,1,0.3333,1,1,1,0,0,high
2022,4,61,1636,16,19,1,12,255,0.0373,0.1373,0,0,0,1,1,0,1,0,high
